Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,2,0,0,0,19-03-2020,15.9129,79.74
Chattisgarh,1,0,0,0,19-03-2020,21.2787,81.8661
Delhi,11,1,3,1,19-03-2020,28.7041,77.1025
Haryana,3,14,0,0,19-03-2020,29.0588,76.0856
Karnataka,14,0,0,1,19-03-2020,15.3173,75.7139
Kerala,25,2,3,0,19-03-2020,10.8505,76.2711
Maharashtra,44,3,0,1,19-03-2020,19.7515,75.7139
Odisha,1,0,0,0,19-03-2020,20.9517,85.0985
Pondicherry,1,0,0,0,19-03-2020,11.9416,79.8083
Punjab,2,0,0,1,19-03-2020,31.1471,75.3412
Rajasthan,5,2,3,0,19-03-2020,27.0238,74.2179
Tamil Nadu,2,0,1,0,19-03-2020,11.1271,78.6569
Telengana,4,2,1,0,19-03-2020,18.1124,79.0193
Union Territory of Chandigarh,1,0,0,0,19-03-2020,30.7333,76.7794
Union Territory of Jammu and Kashmir,4,0,0,0,19-03-2020,33.7782,76.5762
Union Territory of Ladakh,8,0,0,0,19-03-2020,34.2996,78.2932
Uttar Pradesh,18,1,9,0,19-03-2020,26.8467,80.9462
Uttarakhand,1,0,0,0,19-03-2020,30.0668,79.0193
West Bengal,1,0,0,0,19-03-2020,22.9868,87.855
