ConfFor,ConfInd,Date,Death,Latitude,Longitude,Rec,State
0,1,02-03-2020,0,18.1124,79.0193,0,Telengana
0,3,02-03-2020,0,10.8505,76.2711,0,Kerala
0,1,02-03-2020,0,28.7041,77.1025,0,Delhi
0,1,03-03-2020,0,18.1124,79.0193,0,Telengana
1,0,03-03-2020,0,27.0238,74.2179,0,Rajasthan
0,3,03-03-2020,0,10.8505,76.2711,3,Kerala
0,1,03-03-2020,0,28.7041,77.1025,0,Delhi
0,6,04-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,3,04-03-2020,0,10.8505,76.2711,3,Kerala
2,0,04-03-2020,0,29.0588,76.0856,0,Haryana
0,1,04-03-2020,0,28.7041,77.1025,0,Delhi
0,1,04-03-2020,0,18.1124,79.0193,0,Telengana
14,1,04-03-2020,0,27.0238,74.2179,0,Rajasthan
0,2,05-03-2020,0,28.7041,77.1025,0,Delhi
2,0,05-03-2020,0,29.0588,76.0856,0,Haryana
0,3,05-03-2020,0,10.8505,76.2711,3,Kerala
14,1,05-03-2020,0,27.0238,74.2179,0,Rajasthan
0,1,05-03-2020,0,18.1124,79.0193,0,Telengana
0,7,05-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,3,06-03-2020,0,28.7041,77.1025,0,Delhi
2,0,06-03-2020,0,29.0588,76.0856,0,Haryana
0,3,06-03-2020,0,10.8505,76.2711,3,Kerala
14,1,06-03-2020,0,27.0238,74.2179,0,Rajasthan
0,7,06-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,1,06-03-2020,0,18.1124,79.0193,0,Telengana
0,3,07-03-2020,0,10.8505,76.2711,3,Kerala
0,7,07-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,2,07-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,1,07-03-2020,0,18.1124,79.0193,0,Telengana
0,1,07-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,3,07-03-2020,0,28.7041,77.1025,0,Delhi
2,0,07-03-2020,0,29.0588,76.0856,0,Haryana
14,1,07-03-2020,0,27.0238,74.2179,0,Rajasthan
0,2,08-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,1,08-03-2020,0,18.1124,79.0193,0,Telengana
0,1,08-03-2020,0,11.1271,78.6569,0,Tamil Nadu
14,1,08-03-2020,0,27.0238,74.2179,0,Rajasthan
0,8,08-03-2020,0,10.8505,76.2711,3,Kerala
2,0,08-03-2020,0,29.0588,76.0856,0,Haryana
0,3,08-03-2020,0,28.7041,77.1025,0,Delhi
0,7,08-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,2,09-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,1,09-03-2020,0,15.3173,75.7139,0,Karnataka
0,9,09-03-2020,0,10.8505,76.2711,3,Kerala
0,2,09-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,09-03-2020,0,31.1471,75.3412,0,Punjab
14,1,09-03-2020,0,27.0238,74.2179,0,Rajasthan
0,1,09-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,1,09-03-2020,0,18.1124,79.0193,0,Telengana
0,1,09-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,7,09-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
2,0,09-03-2020,0,29.0588,76.0856,0,Haryana
0,4,09-03-2020,0,28.7041,77.1025,0,Delhi
0,7,10-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,2,10-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,4,10-03-2020,0,28.7041,77.1025,0,Delhi
2,0,10-03-2020,0,29.0588,76.0856,0,Haryana
0,4,10-03-2020,0,15.3173,75.7139,0,Karnataka
0,15,10-03-2020,0,10.8505,76.2711,3,Kerala
0,5,10-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,10-03-2020,0,31.1471,75.3412,0,Punjab
14,1,10-03-2020,0,27.0238,74.2179,0,Rajasthan
0,1,10-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,1,10-03-2020,0,18.1124,79.0193,0,Telengana
0,1,10-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
14,0,13-03-2020,0,29.0588,76.0856,0,Haryana
0,17,13-03-2020,0,10.8505,76.2711,3,Kerala
2,1,13-03-2020,0,27.0238,74.2179,0,Rajasthan
0,1,13-03-2020,0,18.1124,79.0193,0,Telengana
1,10,13-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,11,13-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,13-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,1,13-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,1,13-03-2020,0,31.1471,75.3412,0,Punjab
0,6,13-03-2020,0,28.7041,77.1025,0,Delhi
0,3,13-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,5,13-03-2020,1,15.3173,75.7139,0,Karnataka
0,1,13-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,2,11-03-2020,0,19.7515,75.7139,0,Maharashtra
0,5,11-03-2020,0,28.7041,77.1025,0,Delhi
14,0,11-03-2020,0,29.0588,76.0856,0,Haryana
0,17,11-03-2020,0,10.8505,76.2711,3,Kerala
2,1,11-03-2020,0,27.0238,74.2179,0,Rajasthan
0,1,11-03-2020,0,18.1124,79.0193,0,Telengana
0,9,11-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,2,11-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,1,11-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,1,11-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,1,11-03-2020,0,31.1471,75.3412,0,Punjab
0,4,11-03-2020,0,15.3173,75.7139,0,Karnataka
0,6,12-03-2020,0,28.7041,77.1025,0,Delhi
0,11,12-03-2020,0,19.7515,75.7139,0,Maharashtra
0,4,12-03-2020,1,15.3173,75.7139,0,Karnataka
0,1,12-03-2020,0,31.1471,75.3412,0,Punjab
0,1,12-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,1,12-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,3,12-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,10,12-03-2020,0,26.8467,80.9462,0,Uttar Pradesh
0,1,12-03-2020,0,18.1124,79.0193,0,Telengana
2,1,12-03-2020,0,27.0238,74.2179,0,Rajasthan
0,17,12-03-2020,0,10.8505,76.2711,3,Kerala
0,1,12-03-2020,0,15.9129,79.74,0,Andhra Pradesh
14,0,12-03-2020,0,29.0588,76.0856,0,Haryana
0,7,14-03-2020,1,28.7041,77.1025,1,Delhi
14,0,14-03-2020,0,29.0588,76.0856,0,Haryana
0,19,14-03-2020,0,10.8505,76.2711,3,Kerala
2,1,14-03-2020,0,27.0238,74.2179,1,Rajasthan
0,1,14-03-2020,0,18.1124,79.0193,0,Telengana
1,11,14-03-2020,0,26.8467,80.9462,5,Uttar Pradesh
0,3,14-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
0,1,14-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,2,14-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,1,14-03-2020,0,31.1471,75.3412,0,Punjab
0,6,14-03-2020,1,15.3173,75.7139,0,Karnataka
0,14,14-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,14-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,1,15-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,7,15-03-2020,1,28.7041,77.1025,2,Delhi
14,0,15-03-2020,0,29.0588,76.0856,0,Haryana
0,6,15-03-2020,1,15.3173,75.7139,0,Karnataka
0,22,15-03-2020,0,10.8505,76.2711,3,Kerala
0,32,15-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,15-03-2020,0,31.1471,75.3412,0,Punjab
2,2,15-03-2020,0,27.0238,74.2179,3,Rajasthan
0,1,15-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,3,15-03-2020,0,18.1124,79.0193,1,Telengana
0,2,15-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,3,15-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,12,15-03-2020,0,26.8467,80.9462,4,Uttar Pradesh
0,1,15-03-2020,0,30.0668,79.0193,0,Uttarakhand
0,1,16-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,7,16-03-2020,1,28.7041,77.1025,2,Delhi
14,0,16-03-2020,0,29.0588,76.0856,0,Haryana
0,6,16-03-2020,1,15.3173,75.7139,0,Karnataka
0,23,16-03-2020,0,10.8505,76.2711,3,Kerala
0,32,16-03-2020,0,19.7515,75.7139,0,Maharashtra
0,1,16-03-2020,0,,,0,Odisha
0,1,16-03-2020,0,31.1471,75.3412,0,Punjab
2,2,16-03-2020,0,27.0238,74.2179,3,Rajasthan
0,1,16-03-2020,0,11.1271,78.6569,0,Tamil Nadu
0,3,16-03-2020,0,18.1124,79.0193,1,Telengana
0,3,16-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,4,16-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,12,16-03-2020,0,26.8467,80.9462,4,Uttar Pradesh
0,1,16-03-2020,0,30.0668,79.0193,0,Uttarakhand
0,1,17-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,8,17-03-2020,1,28.7041,77.1025,2,Delhi
14,1,17-03-2020,0,29.0588,76.0856,0,Haryana
0,11,17-03-2020,1,15.3173,75.7139,0,Karnataka
2,24,17-03-2020,0,10.8505,76.2711,3,Kerala
3,36,17-03-2020,1,19.7515,75.7139,0,Maharashtra
0,1,17-03-2020,0,20.9517,85.0985,0,Odisha
0,1,17-03-2020,0,31.1471,75.3412,0,Punjab
2,2,17-03-2020,0,27.0238,74.2179,3,Rajasthan
0,1,17-03-2020,0,11.1271,78.6569,0,Tamil Nadu
2,3,17-03-2020,0,18.1124,79.0193,1,Telengana
0,3,17-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,6,17-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,14,17-03-2020,0,26.8467,80.9462,5,Uttar Pradesh
0,1,17-03-2020,0,30.0668,79.0193,0,Uttarakhand
0,1,18-03-2020,0,15.9129,79.74,0,Andhra Pradesh
1,9,18-03-2020,1,28.7041,77.1025,2,Delhi
14,3,18-03-2020,0,29.0588,76.0856,0,Haryana
0,11,18-03-2020,1,15.3173,75.7139,0,Karnataka
2,25,18-03-2020,0,10.8505,76.2711,3,Kerala
3,39,18-03-2020,1,19.7515,75.7139,0,Maharashtra
0,1,18-03-2020,0,20.9517,85.0985,0,Odisha
0,1,18-03-2020,0,,,0,Pondicherry
0,1,18-03-2020,0,31.1471,75.3412,0,Punjab
2,2,18-03-2020,0,27.0238,74.2179,3,Rajasthan
0,1,18-03-2020,0,11.1271,78.6569,0,Tamil Nadu
2,4,18-03-2020,0,18.1124,79.0193,1,Telengana
0,3,18-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,8,18-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,15,18-03-2020,0,26.8467,80.9462,5,Uttar Pradesh
0,1,18-03-2020,0,30.0668,79.0193,0,Uttarakhand
0,1,18-03-2020,0,22.9868,87.855,0,West Bengal
0,2,19-03-2020,0,15.9129,79.74,0,Andhra Pradesh
0,1,19-03-2020,0,21.2787,81.8661,0,Chattisgarh
1,11,19-03-2020,1,28.7041,77.1025,3,Delhi
14,3,19-03-2020,0,29.0588,76.0856,0,Haryana
0,14,19-03-2020,1,15.3173,75.7139,0,Karnataka
2,25,19-03-2020,0,10.8505,76.2711,3,Kerala
3,44,19-03-2020,1,19.7515,75.7139,0,Maharashtra
0,1,19-03-2020,0,20.9517,85.0985,0,Odisha
0,1,19-03-2020,0,11.9416,79.8083,0,Pondicherry
0,2,19-03-2020,1,31.1471,75.3412,0,Punjab
2,5,19-03-2020,0,27.0238,74.2179,3,Rajasthan
0,2,19-03-2020,0,11.1271,78.6569,1,Tamil Nadu
2,4,19-03-2020,0,18.1124,79.0193,1,Telengana
0,1,19-03-2020,0,30.7333,76.7794,0,Union Territory of Chandigarh
0,4,19-03-2020,0,33.7782,76.5762,0,Union Territory of Jammu and Kashmir
0,8,19-03-2020,0,34.2996,78.2932,0,Union Territory of Ladakh
1,18,19-03-2020,0,26.8467,80.9462,9,Uttar Pradesh
0,1,19-03-2020,0,30.0668,79.0193,0,Uttarakhand
0,1,19-03-2020,0,22.9868,87.855,0,West Bengal
